Date,Val,Open,High,Low,Close,Adj Close,Volume,N. D. C.,Five Out,Thirty Out
8/4/2015,148,142.2200012,143.0599976,142.0099945,142.6799927,142.6799927,2618000,143.5,142.8000031,132.5800018
8/5/2015,149,143.3200073,143.9900055,143.2200012,143.5,143.5,2615800,143.3500061,141.6000061,131.4700012
8/6/2015,150,143.5,143.8399963,143,143.3500061,143.3500061,2418200,143.5500031,141.9499969,129.1000061
8/7/2015,151,142.8600006,143.6999969,142.3000031,143.5500031,143.5500031,2419000,143.4199982,142.5700073,130.9799957
8/10/2015,152,141.3699951,143.5800018,141.3099976,143.4199982,143.4199982,4278300,142.8000031,142.3200073,129.3000031
8/11/2015,153,141.8300018,143.0700073,141.6100006,142.8000031,142.8000031,3924400,141.6000061,141.3600006,129.1600037
8/12/2015,154,141.9100037,142.1499939,140.4600067,141.6000061,141.6000061,4901200,141.9499969,140.4700012,128.8300018
8/13/2015,155,141.3099976,142.6100006,140.9900055,141.9499969,141.9499969,3045200,142.5700073,138.3899994,129.6399994
8/14/2015,156,142.0500031,142.75,141.9900055,142.5700073,142.5700073,2911200,142.3200073,134.2200012,128.6199951
8/17/2015,157,142,142.4600067,141.3099976,142.3200073,142.3200073,2788100,141.3600006,129.5700073,128.8099976
8/18/2015,158,142.2899933,142.3000031,141.0200043,141.3600006,141.3600006,3334100,140.4700012,127.7399979,130.3999939
8/19/2015,159,141,141.7100067,139.75,140.4700012,140.4700012,3478300,138.3899994,132.6100006,129.8800049
8/20/2015,160,139.1999969,140,138.3500061,138.3899994,138.3899994,4050800,134.2200012,136.2299957,129.8300018
8/21/2015,161,137.2299957,138,134.1600037,134.2200012,134.2200012,9122400,129.5700073,135.7400055,132.3800049
8/24/2015,162,127.5500031,133.9700012,125.5,129.5700073,129.5700073,13820800,127.7399979,134.0399933,131.1900024
8/25/2015,163,134.4799957,134.5500031,127.4599991,127.7399979,127.7399979,8233100,132.6100006,130.4100037,132.6799927
8/26/2015,164,130.8899994,132.8800049,128.6900024,132.6100006,132.6100006,7709300,136.2299957,132.2200012,133.75
8/27/2015,165,134.3999939,136.3099976,133.2200012,136.2299957,136.2299957,5923000,135.7400055,132.1499939,133.0299988
8/28/2015,166,135.5299988,136,134.7299957,135.7400055,135.7400055,3897800,134.0399933,129.6399994,133.3999939
8/31/2015,167,135.0899963,135.5,133.4199982,134.0399933,134.0399933,5575500,130.4100037,132.8999939,132.1900024
9/1/2015,168,131.7899933,132.2700043,129.8300018,130.4100037,130.4100037,5957900,132.2200012,130.5899963,131.1799927
9/2/2015,169,131.4100037,132.2200012,130.7599945,132.2200012,132.2200012,4080300,132.1499939,130.6600037,133.8000031
9/3/2015,170,132.7100067,133.6199951,131.6900024,132.1499939,132.1499939,3984400,129.6399994,131.3699951,133.8099976
9/4/2015,171,130.8200073,131.0800018,128.9100037,129.6399994,129.6399994,5828600,132.8999939,130.8999939,133.6199951
9/8/2015,172,132.0200043,133.0700073,131.1699982,132.8999939,132.8999939,5729300,130.5899963,132.2599945,134.1600037
9/9/2015,173,134.5,134.6600037,130.3000031,130.5899963,130.5899963,4482600,130.6600037,132.5800018,133.2200012
9/10/2015,174,130.2299957,131.7899933,130.1999969,130.6600037,130.6600037,4482400,131.3699951,131.4700012,137.2899933
9/11/2015,175,130.8800049,131.5500031,130.25,131.3699951,131.3699951,4181800,130.8999939,129.1000061,137.7799988
9/14/2015,176,131.1499939,131.6900024,130.5399933,130.8999939,130.8999939,4270000,132.2599945,130.9799957,137
9/15/2015,177,131,132.6499939,130.7599945,132.2599945,132.2599945,3189600,132.5800018,129.3000031,135.6300049
9/16/2015,178,132.2599945,132.8500061,132.0200043,132.5800018,132.5800018,3041500,131.4700012,129.1600037,138.1600037
9/17/2015,179,132.2899933,133.6000061,131.2700043,131.4700012,131.4700012,4414500,129.1000061,128.8300018,137.8899994
9/18/2015,180,130.0700073,130.9600067,128.9400024,129.1000061,129.1000061,14622800,130.9799957,129.6399994,136.0200043
9/21/2015,181,130,131.3099976,129.7200012,130.9799957,130.9799957,4804900,129.3000031,128.6199951,138.3999939
9/22/2015,182,129.5599976,129.6900024,128.3600006,129.3000031,129.3000031,4230800,129.1600037,128.8099976,137.9400024
